p2_mw,p3_mw,is_secure,security_margin_signed,security_margin_abs
0.0,0.0,0,-25.71493,25.71493
10.0,0.0,0,-11.500066,11.500066
10.9699,0.0,0,-11.500066,11.500066
11.939799,0.0,0,-11.500066,11.500066
12.909699,0.0,0,-11.500066,11.500066
13.879599,0.0,0,-11.500066,11.500066
14.849499,0.0,0,-11.500066,11.500066
15.819398,0.0,0,-11.500066,11.500066
16.789297,0.0,0,-11.500066,11.500066
17.759197,0.0,0,-11.500066,11.500066
18.729097,0.0,0,-11.500066,11.500066
19.698997,0.0,0,-11.500066,11.500066
20.668896,0.0,0,-11.500066,11.500066
21.638796,0.0,0,-11.500066,11.500066
22.608696,0.0,0,-11.500066,11.500066
23.578596,0.0,0,-11.500066,11.500066
24.548494,0.0,0,-11.500066,11.500066
25.518394,0.0,0,-11.500066,11.500066
26.488295,0.0,0,-11.500066,11.500066
27.458195,0.0,0,-11.500066,11.500066
28.428093,0.0,0,-11.500066,11.500066
29.397993,0.0,0,-11.500066,11.500066
30.367893,0.0,0,-11.500066,11.500066
31.337793,0.0,0,-11.500066,11.500066
32.307693,0.0,0,-11.500066,11.500066
33.27759,0.0,0,-11.500066,11.500066
34.24749,0.0,0,-11.500066,11.500066
35.217392,0.0,0,-11.500066,11.500066
36.18729,0.0,0,-11.500066,11.500066
37.157192,0.0,0,-11.500066,11.500066
38.12709,0.0,0,-11.714431,11.714431
39.09699,0.0,0,-12.335195,12.335195
40.06689,0.0,0,-13.3056,13.3056
41.03679,0.0,0,-14.55588,14.55588
42.006687,0.0,0,-16.020645,16.020645
42.97659,0.0,0,-17.64657,17.64657
43.946487,0.0,0,-19.393152,19.393152
44.91639,0.0,0,-21.230646,21.230646
45.886288,0.0,0,-23.13739,23.13739
46.856186,0.0,0,-25.09761,25.09761
47.826088,0.0,0,-27.099712,27.099712
48.795986,0.0,0,-29.13505,29.13505
49.765884,0.0,0,-31.197124,31.197124
50.735786,0.0,0,-33.28098,33.28098
51.705685,0.0,0,-35.38274,35.38274
52.675587,0.0,0,-37.499424,37.499424
53.645485,0.0,0,-39.62862,39.62862
54.615383,0.0,0,-41.768417,41.768417
55.585285,0.0,0,-43.91728,43.91728
56.555183,0.0,0,-46.073925,46.073925
57.525085,0.0,0,-48.23732,48.23732
58.494984,0.0,0,-50.406574,50.406574
59.46488,0.0,0,-52.58099,52.58099
60.434784,0.0,0,-54.759937,54.759937
61.404682,0.0,0,-56.9429,56.9429
62.37458,0.0,0,-59.12943,59.12943
63.344482,0.0,0,-61.319153,61.319153
64.314384,0.0,0,-63.511734,63.511734
65.28428,0.0,0,-65.70687,65.70687
66.25418,0.0,0,-67.90435,67.90435
67.22408,0.0,0,-70.10393,70.10393
68.19398,0.0,0,-72.305405,72.305405
69.16388,0.0,0,-74.50864,74.50864
70.13378,0.0,0,-76.71347,76.71347
71.103676,0.0,0,-78.91975,78.91975
72.07358,0.0,0,-81.12737,81.12737
73.04348,0.0,0,-83.336235,83.336235
74.013374,0.0,0,-85.54621,85.54621
74.98328,0.0,0,-87.75726,87.75726
75.95318,0.0,0,-89.969284,89.969284
76.92308,0.0,0,-92.18221,92.18221
77.892975,0.0,0,-94.395966,94.395966
78.86288,0.0,0,-96.61052,96.61052
79.83278,0.0,0,-98.825806,98.825806
80.80267,0.0,0,-101.041756,101.041756
81.772575,0.0,0,-103.25836,103.25836
82.74248,0.0,0,-105.47556,105.47556
83.71237,0.0,0,-107.69331,107.69331
84.682274,0.0,0,-109.9116,109.9116
85.652176,0.0,0,-112.13038,112.13038
86.62207,0.0,0,-114.34962,114.34962
87.59197,0.0,0,-112.130394,112.130394
88.561874,0.0,0,-109.911606,109.911606
89.53177,0.0,0,-107.69333,107.69333
90.50167,0.0,0,-105.47557,105.47557
91.47157,0.0,0,-103.25836,103.25836
92.441475,0.0,0,-101.04176,101.04176
93.41137,0.0,0,-98.82581,98.82581
94.38127,0.0,0,-96.61053,96.61053
95.35117,0.0,0,-94.39598,94.39598
96.32107,0.0,0,-92.18222,92.18222
97.29097,0.0,0,-89.96929,89.96929
98.26087,0.0,0,-87.75727,87.75727
99.23077,0.0,0,-85.546234,85.546234
100.20067,0.0,0,-83.33624,83.33624
101.17057,0.0,0,-81.12738,81.12738
102.140465,0.0,0,-78.91976,78.91976
103.11037,0.0,0,-76.71348,76.71348
104.08027,0.0,0,-74.508644,74.508644
105.05017,0.0,0,-72.30541,72.30541
106.020065,0.0,0,-70.10394,70.10394
106.98997,0.0,0,-67.90436,67.90436
107.95987,0.0,0,-65.70689,65.70689
108.92976,0.0,0,-63.511745,63.511745
109.899666,0.0,0,-61.319157,61.319157
110.86957,0.0,0,-59.129436,59.129436
111.83946,0.0,0,-56.942917,56.942917
112.809364,0.0,0,-54.75995,54.75995
113.77927,0.0,0,-52.580997,52.580997
114.74916,0.0,0,-50.406593,50.406593
115.71906,0.0,0,-48.237324,48.237324
116.688965,0.0,0,-46.073933,46.073933
117.65886,0.0,0,-43.917297,43.917297
118.62876,0.0,0,-41.768436,41.768436
